# oc11 app -> source repo map, derived from owncloud/server-release specs
# specs/11.0.0.yaml (standard) and specs/11.0.0-complete.yaml (complete)
# app_id	repo	tag	visibility	variants	target_directory
activity	owncloud/activity	v2.8.1	public	complete	owncloud/apps/activity
admin_audit	owncloud/admin_audit	v2.2.1	private	complete	owncloud/apps/admin_audit
announcementcenter	owncloud/announcementcenter	v1.3.1	public	complete	owncloud/apps/announcementcenter
brute_force_protection	owncloud/brute_force_protection	v1.4.1	public	complete	owncloud/apps/brute_force_protection
configreport	owncloud/configreport	v0.4.2	public	standard,complete	owncloud/apps/configreport
customgroups	owncloud/customgroups	v0.10.2	public	complete	owncloud/apps/customgroups
diagnostics	owncloud/diagnostics	v0.3.1	public	complete	owncloud/apps/diagnostics
drawio	owncloud/drawio	v1.1.1	public	complete	owncloud/apps/drawio
encryption	owncloud/encryption	v1.7.1	public	standard,complete	owncloud/apps/encryption
example-files	owncloud/example-files	v1.4.0	public	standard,complete	owncloud/core/skeleton
external	owncloud/external	v1.5.2	public	standard,complete	owncloud/apps/external
files_antivirus	owncloud/files_antivirus	v1.3.1	public	complete	owncloud/apps/files_antivirus
files_classifier	owncloud/files_classifier	v1.6.1	private	complete	owncloud/apps/files_classifier
files_external_dropbox	owncloud/files_external_dropbox	v2.1.1	public	complete	owncloud/apps/files_external_dropbox
files_external_ftp	owncloud/files_external_ftp	v0.3.1	public	complete	owncloud/apps/files_external_ftp
files_ldap_home	owncloud/files_ldap_home	v0.6.2	private	complete	owncloud/apps/files_ldap_home
files_lifecycle	owncloud/files_lifecycle	v1.4.1	private	complete	owncloud/apps/files_lifecycle
files_mediaviewer	owncloud/files_mediaviewer	v1.1.1	public	standard,complete	owncloud/apps/files_mediaviewer
files_pdfviewer	owncloud/files_pdfviewer	v1.1.1	public	complete	owncloud/apps/files_pdfviewer
files_primary_s3	owncloud/files_primary_s3	v1.7.1	public	complete	owncloud/apps/files_primary_s3
files_texteditor	owncloud/files_texteditor	v2.7.1	public	complete	owncloud/apps/files_texteditor
firewall	owncloud/firewall	v2.11.1	private	complete	owncloud/apps/firewall
firstrunwizard	owncloud/firstrunwizard	v1.4.2	public	standard,complete	owncloud/apps/firstrunwizard
graphapi	owncloud/graphapi	v0.4.1	private	complete	owncloud/apps/graphapi
guests	owncloud/guests	v0.13.1	public	complete	owncloud/apps/guests
market	owncloud/market	v0.10.1	public	standard,complete	owncloud/apps/market
metrics	owncloud/metrics	v1.5.1	private	complete	owncloud/apps/metrics
migrate_to_ocis	owncloud/migrate_to_ocis	v3.0.0	public	complete	owncloud/apps/migrate_to_ocis
notes	owncloud/notes	v2.2.0	public	complete	owncloud/apps/notes
notifications	owncloud/notifications	v0.7.1	public	standard,complete	owncloud/apps/notifications
oauth2	owncloud/oauth2	v0.7.1	public	complete	owncloud/apps/oauth2
openidconnect	owncloud/openidconnect	v2.4.1	public	complete	owncloud/apps/openidconnect
password_policy	owncloud/password_policy	v2.3.1	public	complete	owncloud/apps/password_policy
ransomware_protection	owncloud/ransomware_protection	v1.8.1	private	complete	owncloud/apps/ransomware_protection
richdocuments	owncloud/richdocuments	v4.3.0	public	complete	owncloud/apps/richdocuments
systemtags_management	owncloud/systemtags_management	v0.5.1	private	complete	owncloud/apps/systemtags_management
theme-enterprise	owncloud/theme-enterprise	v2.4.1	private	complete	owncloud/apps/theme-enterprise
twofactor_totp	owncloud/twofactor_totp	v0.10.2	public	complete	owncloud/apps/twofactor_totp
user_external	owncloud/user_external	v0.7.1	public	standard,complete	owncloud/apps/user_external
user_ldap	owncloud/user_ldap	v0.20.3	public	complete	owncloud/apps/user_ldap
user_shibboleth	owncloud/user_shibboleth	v3.7.1	private	complete	owncloud/apps/user_shibboleth
windows_network_drive	owncloud/windows_network_drive	v2.5.1	private	complete	owncloud/apps/windows_network_drive
wopi	owncloud/wopi	v1.9.1	private	complete	owncloud/apps/wopi
workflow	owncloud/workflow	v0.7.1	private	complete	owncloud/apps/workflow
